Code d�partement,Code de la commune,Cl� unique,Commune,Couleur politique
38,22,38_22,Les Aveni�res,LDVD
78,165,78_165,Les Clayes-sous-Bois,LMAJ
78,220,78_220,Les Essarts-le-Roi,LSOC
49,246,49_246,Les Ponts-de-C�,LSOC
85,194,85_194,Les Sables-d'Olonne,LMAJ
974,423,974_423,Les Trois-Bassins,LDVD
972,231,972_231,Les Trois-Ilets,LDVG
91,692,91_692,Les Ulis,LSOC
64,335,64_335,Lescar,LSOC
29,124,29_124,Lesneven,LDVD
33,240,33_240,Lesparre-M�doc,LDVG
6,75,6_75,Levens,LMAJ
28,209,28_209,L�ves,LSOC
63,195,63_195,Lezoux,LMAJ
Code du d�partement,Code de la commune,,Libell� de la commune,Code Nuance
988,820,988_820,Lifou,LREG
59,350,59_350,Lille,LGC
94,44,94_44,Limeil-Br�vannes,LUG
14,366,14_366,Lisieux,LDVD
81,145,81_145,Lisle-sur-Tarn,LDVG
29,130,29_130,Locmaria-Plouzan�,LDVD
34,142,34_142,Lod�ve,LGC
91,345,91_345,Longjumeau,LMAJ
91,347,91_347,Longpont-sur-Orge,LUG
49,180,49_180,Longu�-Jumelles,LDVD
80,489,80_489,Longueau,LUG
54,323,54_323,Longwy,LMAJ
64,348,64_348,Lons,LDVD
86,137,86_137,Loudun,LDVD
65,286,65_286,Lourdes,LMAJ
78,350,78_350,Louveciennes,LDVD
27,375,27_375,Louviers,LDVG
28,218,28_218,Luc�,LDVG
54,328,54_328,Ludres,LDVD
28,220,28_220,Luisant,LMC
34,145,34_145,Lunel,LDVD
68,195,68_195,Lutterbach,LDVD
69,123,69_lyon,Lyon,LSOC
976,513,976_513,M'TSANGAMOUJI,LMAJ
44,87,44_87,Machecoul,LCMD
987,25,987_25,Mahina,LMAJ
78,358,78_358,Maisons-Laffitte,LMAJ
19,123,19_123,Malemort-sur-Corr�ze,LUG
45,191,45_191,Malesherbes,LDVD
72,180,72_180,Mamers,LSOC
976,511,976_511,MAMOUDZOU,LMAJ
94,47,94_47,Mandres-les-Roses,LMAJ
30,155,30_155,Manduel,LDVG
4,112,4_112,Manosque,LMAJ
78,362,78_362,Mantes-la-Ville,LUG
17,218,17_218,Marans,LUG
988,828,988_828,Mar�,LREG
17,219,17_219,Marennes,LDVG
13,54,13_54,Marignane,LDVD
973,353,973_353,Maripasoula,LDVG
57,447,57_447,Marly,LDVD
59,383,59_383,Marly,LUG
91,376,91_376,Marolles-en-Hurepoix,LDVD
76,410,76_410,Maromme,LSOC
21,390,21_390,Marsannay-la-C�te,LDVD
34,150,34_150,Marseillan,LDVD
34,151,34_151,Marsillargues,LDVG
48,92,48_92,Marvejols,LMAJ
59,390,59_390,Masny,LUG
91,377,91_377,Massy,LMC
34,154,34_154,Mauguio,LDVG
78,380,78_380,Maule,LDVD
78,383,78_383,Maurepas,LGC
81,163,81_163,Mazamet,LDVD
84,72,84_72,Mazan,LDVG
62,563,62_563,Mazingarbe,LDVG
35,173,35_173,Melesse,LDVD
77,288,77_288,Melun,LMAJ
48,95,48_95,Mende,LSOC
91,386,91_386,Mennecy,LDVD
6,83,6_83,Menton,LMAJ
67,291,67_291,Mertzwiller,LMAJ
60,395,60_395,M�ru,LMAJ
95,394,95_394,M�ry-sur-Oise,LDVG
44,96,44_96,M�sanger,LDVD
57,463,57_463,Metz,LUG
45,203,45_203,Meung-sur-Loire,LDVD
62,573,62_573,Meurchin,LDVG
38,229,38_229,Meylan,LMAJ
34,157,34_157,M�ze,LDVG
30,169,30_169,Milhaud,LDVD
12,145,12_145,Millau,LDVG
40,184,40_184,Mimizan,LDVD
33,284,33_284,Mios,LDVD
13,63,13_63,Miramas,LSOC
29,150,29_150,Mo�lan-sur-Mer,LSOC
43,137,43_137,Monistrol-sur-Loire,LDVG
40,192,40_192,Mont-de-Marsan,LMC
76,451,76_451,Mont-Saint-Aignan,LUG
34,161,34_161,Montady,LDVG
82,121,82_121,Montauban,LMAJ
35,184,35_184,Montauban-de-Bretagne,LSOC
21,425,21_425,Montbard,LSOC
25,388,25_388,Montb�liard,LUG
71,310,71_310,Montchanin,LDVG
82,125,82_125,Montech,LMC
26,198,26_198,Mont�limar,LMAJ
77,307,77_307,Mont�vrain,LMAJ
35,188,35_188,Montfort-sur-Meu,LDVD
91,421,91_421,Montgeron,LGC
76,447,76_447,Montivilliers,LDVG
91,425,91_425,Montlh�ry,LDVD
95,427,95_427,Montmagny,LMAJ
95,428,95_428,Montmorency,LSOC
44,103,44_103,Montoir-de-Bretagne,LUG
34,172,34_172,Montpellier,LGC
24,294,24_294,Montpon-M�nest�rol,LUG
93,48,93_48,Montreuil,LDVG
49,215,49_215,Montreuil-Bellay,LDVG
41,151,41_151,Montrichard,LDVD
92,49,92_49,Montrouge,LMC
91,433,91_433,Morigny-Champigny,LDVG
29,151,29_151,Morlaix,LDVD
77,317,77_317,Mormant,LDVD
971,116,971_116,Morne-�-l'Eau,LCOM
3,190,3_190,Moulins,LMAJ
77,320,77_320,Mouroux,LDVG
59,421,59_421,Mouvaux,LMAJ
60,439,60_439,Mouy,LSOC
57,491,57_491,Moyeuvre-Grande,LUG
976,512,976_512,MTSAMBORO,LMAJ
68,224,68_224,Mulhouse,LMAJ
68,226,68_226,Munster,LDVD
31,395,31_395,Muret,LSOC
49,223,49_223,M�rs-Erign�,LDVG
67,313,67_313,Mutzig,LMAJ
54,395,54_395,Nancy,LMAJ
77,327,77_327,Nangis,LDVD
83,87,83_87,Nans-les-Pins,LMAJ
11,262,11_262,Narbonne,LSOC
77,333,77_333,Nemours,LMAJ
92,51,92_51,Neuilly-sur-Seine,LMAJ
45,224,45_224,Neuville-aux-Bois,LDVD
59,426,59_426,Neuville-en-Ferrain,LMAJ
69,143,69_143,Neuville-sur-Sa�ne,LMAJ
58,194,58_194,Nevers,LSOC
6,88,6_88,Nice,LMAJ
59,431,59_431,Nieppe,LSOC
30,189,30_189,N�mes,LMAJ
79,191,79_191,Niort,LUG
94,52,94_52,Nogent-sur-Marne,LMAJ
60,463,60_463,Nogent-sur-Oise,LUG
93,51,93_51,Noisy-le-Grand,LSOC
93,53,93_53,Noisy-le-Sec,LUG
988,800,988_800,Noum�a,LMAJ
35,206,35_206,Noyal-Ch�tillon-sur-Seiche,LSOC
62,628,62_628,Noyelles-sous-Lens,LDVG
60,471,60_471,Noyon,LDVG
21,464,21_464,Nuits-Saint-Georges,LMAJ
76,481,76_481,Octeville-sur-Mer,LDVD
85,166,85_166,Olonne-sur-Mer,LMC
59,447,59_447,Onnaing,LCMD
45,234,45_234,Orl�ans,LMC
94,54,94_54,Orly,LDVG
64,430,64_430,Orthez,LSOC
67,365,67_365,Ostwald,LSOC
976,514,976_514,OUANGANI,LDVD
988,814,988_814,Ouv�a,LREG
