"Tables Départements et académies",Tables Effectifs scolarisés (1),Tables Évolution 2020/2021 (%),Tables Effectifs d’habitants,Tables Taux de scolari- sation (%),title,doc_id,type,uploaded_from,doc_meta_data,folder_name,folder_id,created_at_iso,modified_at_iso,status,review_url,user_doc_id
Côte-d’Or,131 214,"- 0,3",536 638,"24,5",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Nièvre,33 275,"- 0,7",199 156,"16,7",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Saône-et-Loire,96 770,"- 0,7",548 770,"17,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Yonne,59 625,"- 1,0",332 412,"17,9",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Dijon,320 884,"- 0,6",1 616 976,"19,8",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Bourgogne-Franche-Comté,575 141,"- 0,5",2 794 737,"20,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Côtes-d’Armor,111 742,"- 0,6",607 979,"18,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Finistère,196 257,"- 0,6",924 576,"21,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Ille-et-Vilaine,296 614,"1,2",1 110 429,"26,7",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Morbihan,153 749,"0,7",773 979,"19,9",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Rennes,758 362,"0,4",3 416 963,"22,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Bretagne,758 362,"0,4",3 416 963,"22,2",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Cher,51 805,"- 1,6",298 501,"17,4",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Eure-et-Loir,87 211,"- 0,7",430 284,"20,3",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Indre,34 882,"- 1,6",216 280,"16,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Indre-et-Loire,145 303,"- 0,3",616 991,"23,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Loir-et-Cher,59 397,"- 0,9",328 194,"18,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Loiret,164 238,"1,0",685 406,"24,0",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Orléans-tours,542 836,"- 0,2",2 575 656,"21,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Centre-Val de Loire,542 836,"- 0,2",2 575 656,"21,1",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Corse-du-Sud,23 814,"1,1",163 320,"14,6",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
Haute-Corse,31 298,"0,4",185 848,"16,8",RERS-16.pdf,fe691abf43dc4fe989213a58706f8e47,table_vision,api,,,,2025-03-07T09:10:24+00:00,2025-03-07T09:11:02+00:00,reviewing,https://app.docsumo.com/review-document/fe691abf43dc4fe989213a58706f8e47,
